time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-03 14:15:01.961223,280,105,2:14 PM,56,7,2:14 PM,144,85,2:14 PM
2021-04-03 14:30:01.957699,280,101,2:29 PM,56,7,2:26 PM,144,79,2:29 PM
2021-04-03 14:45:01.683669,280,97,2:44 PM,56,9,2:44 PM,144,82,2:43 PM
2021-04-03 15:00:02.562212,280,110,2:59 PM,56,11,2:59 PM,144,89,2:59 PM
2021-04-03 15:15:02.204856,280,115,3:15 PM,56,16,3:14 PM,144,78,3:14 PM
2021-04-03 15:30:02.221891,280,115,3:29 PM,56,16,3:29 PM,144,85,3:29 PM
2021-04-03 15:45:02.088254,280,112,3:44 PM,56,18,3:44 PM,144,79,3:44 PM
2021-04-03 16:00:02.412061,280,109,3:57 PM,56,17,3:51 PM,144,82,3:59 PM
2021-04-03 16:15:01.555650,280,111,4:14 PM,56,15,4:12 PM,144,68,4:14 PM
2021-04-03 16:30:02.084934,280,117,4:28 PM,56,17,4:30 PM,144,72,4:28 PM
2021-04-03 16:45:02.269026,280,104,4:44 PM,56,15,4:41 PM,144,70,4:44 PM
2021-04-03 17:00:01.978147,280,100,4:59 PM,56,17,4:55 PM,144,69,4:57 PM
2021-04-03 17:15:02.252519,280,107,5:14 PM,56,13,5:13 PM,144,69,5:14 PM
2021-04-03 17:30:05.009617,280,98,5:28 PM,56,9,5:30 PM,144,58,5:30 PM
2021-04-03 17:45:02.457473,280,95,5:44 PM,56,9,5:43 PM,144,59,5:43 PM
2021-04-03 18:00:02.292082,280,84,5:59 PM,56,8,6:00 PM,144,57,5:59 PM
2021-04-03 18:15:01.887100,280,85,6:13 PM,56,5,6:14 PM,144,58,6:14 PM
2021-04-03 18:30:02.148759,280,75,6:29 PM,56,2,6:25 PM,144,49,6:29 PM
2021-04-03 18:45:01.729184,280,72,6:44 PM,56,2,6:44 PM,144,48,6:44 PM
2021-04-03 19:00:02.085169,280,63,6:57 PM,56,0,6:57 PM,144,50,6:58 PM
2021-04-03 19:15:01.793060,280,67,7:14 PM,56,0,7:14 PM,144,60,7:14 PM
2021-04-03 19:30:02.224838,280,68,7:29 PM,56,0,7:29 PM,144,59,7:20 PM
2021-04-03 19:45:03.741592,280,66,7:42 PM,56,3,7:40 PM,144,60,7:42 PM
2021-04-03 20:00:02.034264,280,63,7:59 PM,56,4,7:50 PM,144,59,7:50 PM
2021-04-03 20:15:00.967630,280,53,8:14 PM,56,4,8:10 PM,144,61,8:11 PM
2021-04-04 05:15:02.859177,280,0,5:10 AM,56,0,5:10 AM,144,0,5:11 AM
2021-04-04 05:30:02.290774,280,0,5:25 AM,56,0,5:25 AM,144,0,5:25 AM
2021-04-04 05:45:01.855517,280,0,5:40 AM,56,0,5:40 AM,144,0,5:42 AM
2021-04-04 06:00:02.355757,280,0,5:50 AM,56,0,5:50 AM,144,0,5:50 AM
2021-04-04 06:15:01.555265,280,0,6:10 AM,56,0,6:10 AM,144,0,6:10 AM
2021-04-04 09:15:02.407734,280,74,9:14 AM,56,0,9:11 AM,144,53,9:14 AM
2021-04-04 09:30:02.081068,280,94,9:29 AM,56,3,9:29 AM,144,57,9:29 AM
2021-04-04 09:45:02.205400,280,106,9:44 AM,56,7,9:42 AM,144,62,9:42 AM
2021-04-04 10:00:01.961750,280,99,9:59 AM,56,11,9:59 AM,144,72,9:59 AM
2021-04-04 10:15:01.738238,280,116,10:14 AM,56,14,10:12 AM,144,88,10:14 AM
2021-04-04 11:00:02.073597,280,113,11:00 AM,56,21,10:58 AM,144,96,10:59 AM
2021-04-04 11:30:02.465733,280,134,11:29 AM,56,17,11:29 AM,144,96,11:29 AM
2021-04-04 11:45:02.111402,280,127,11:44 AM,56,17,11:41 AM,144,86,11:44 AM
2021-04-04 12:00:01.873055,280,121,11:59 AM,56,10,11:59 AM,144,84,11:59 AM
2021-04-04 12:15:01.621328,280,121,12:14 PM,56,12,12:12 PM,144,84,12:14 PM
2021-04-04 12:30:01.544850,280,121,12:29 PM,56,12,12:29 PM,144,78,12:28 PM
2021-04-04 12:45:01.396935,280,117,12:44 PM,56,10,12:42 PM,144,77,12:44 PM
2021-04-04 13:00:03.444112,280,104,12:59 PM,56,9,12:59 PM,144,76,12:59 PM
2021-04-04 13:15:01.571921,280,109,1:14 PM,56,7,1:14 PM,144,76,1:14 PM
2021-04-04 13:30:05.586657,280,105,1:30 PM,56,10,1:30 PM,144,79,1:30 PM
2021-04-04 13:45:02.477264,280,111,1:44 PM,56,9,1:43 PM,144,74,1:44 PM
2021-04-04 14:00:02.022601,280,100,1:59 PM,56,12,1:57 PM,144,79,1:58 PM
2021-04-04 14:15:02.102162,280,110,2:15 PM,56,14,2:14 PM,144,86,2:14 PM
2021-04-04 14:30:01.826910,280,107,2:29 PM,56,14,2:29 PM,144,83,2:29 PM
2021-04-04 14:45:02.035151,280,117,2:44 PM,56,11,2:41 PM,144,90,2:44 PM
2021-04-04 15:00:02.019807,280,123,2:59 PM,56,12,2:59 PM,144,91,2:59 PM
2021-04-04 15:15:01.386440,280,127,3:13 PM,56,12,3:13 PM,144,94,3:14 PM
2021-04-04 15:30:03.946468,280,122,3:29 PM,56,9,3:30 PM,144,87,3:30 PM
2021-04-04 15:45:02.148052,280,124,3:44 PM,56,7,3:43 PM,144,94,3:44 PM
2021-04-04 16:00:02.333715,280,130,3:59 PM,56,11,3:59 PM,144,89,3:59 PM
2021-04-04 16:15:02.473103,280,138,4:14 PM,56,12,4:08 PM,144,90,4:13 PM
2021-04-04 16:30:02.286972,280,140,4:29 PM,56,11,4:29 PM,144,84,4:29 PM
2021-04-04 16:45:02.282440,280,141,4:45 PM,56,7,4:43 PM,144,89,4:44 PM
2021-04-04 17:00:02.501413,280,145,4:59 PM,56,8,4:58 PM,144,98,4:59 PM
2021-04-04 17:15:02.127859,280,134,5:14 PM,56,7,5:13 PM,144,95,5:14 PM
2021-04-04 17:30:02.045064,280,126,5:30 PM,56,7,5:28 PM,144,89,5:28 PM
2021-04-04 17:45:01.648759,280,103,5:44 PM,56,8,5:44 PM,144,96,5:44 PM
2021-04-04 18:00:01.733933,280,99,5:59 PM,56,8,5:57 PM,144,94,5:58 PM
2021-04-04 18:15:01.787388,280,88,6:14 PM,56,7,6:13 PM,144,90,6:14 PM
2021-04-04 18:30:02.522591,280,80,6:29 PM,56,6,6:29 PM,144,74,6:30 PM
2021-04-04 18:45:01.855047,280,74,6:45 PM,56,6,6:43 PM,144,78,6:44 PM
2021-04-04 19:00:01.798293,280,73,6:59 PM,56,5,6:58 PM,144,71,6:58 PM
2021-04-04 19:15:01.561300,280,70,7:14 PM,56,3,7:14 PM,144,61,7:14 PM
2021-04-04 19:30:01.560999,280,51,7:29 PM,56,0,7:28 PM,144,51,7:29 PM
2021-04-04 19:45:02.476987,280,58,7:44 PM,56,0,7:43 PM,144,52,7:44 PM
2021-04-04 20:00:01.588064,280,62,7:59 PM,56,1,7:59 PM,144,51,7:59 PM
2021-04-04 20:15:01.048915,280,61,8:14 PM,56,1,8:10 PM,144,40,8:14 PM
2021-04-04 20:30:02.228027,280,56,8:29 PM,56,1,8:28 PM,144,43,8:28 PM
2021-04-04 20:45:02.235914,280,44,8:44 PM,56,1,8:44 PM,144,48,8:44 PM
2021-04-04 21:00:00.927204,280,48,8:57 PM,56,1,8:50 PM,144,48,8:55 PM
2021-04-04 21:15:00.807040,280,43,9:13 PM,56,1,9:10 PM,144,48,9:14 PM
